Component#1,Component#2,Smiles#1,Smiles#2,X#1 (molar fraction),"Tmelt, K"
2-hydroxyethyl(trimethyl)azanium;chloride,"(2S,3R)-butane-1,2,3,4-tetrol",C[N+](C)(C)CCO.[Cl-],OC[C@@H](O)[C@@H](O)CO,0.748,477.354
2-hydroxyethyl(trimethyl)azanium;chloride,octadecan-1-ol,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCCCCCCCCO,0.85,477.25
ChCl,"[NBz,1,1,1]Cl",C[N+](C)(C)CCO.[Cl-],C[N+](C)(C)CC1=CC=CC=C1.[Cl-],0.509831373,476.39
2-hydroxyethyl(trimethyl)azanium;chloride,tetradecanoic acid,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCCCC(=O)O,0.792,475.83
2-hydroxyethyl(trimethyl)azanium;chloride,pentanedioic acid,C[N+](C)(C)CCO.[Cl-],O=C(O)CCCC(=O)O,0.799,475.42
2-hydroxyethyl(trimethyl)azanium;chloride,2-hydroxybutanedioic acid,C[N+](C)(C)CCO.[Cl-],O=C(O)CC(O)C(=O)O,0.799,474.48
tetramethylazanium;chloride,hexadecanoic acid,C[N+](C)(C)C.[Cl-],CCCCCCCCCCCCCCCC(=O)O,0.684,473.75
2-hydroxyethyl(trimethyl)azanium;chloride,hexadecanoic acid,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCCCCCC(=O)O,0.75,473.58
2-hydroxyethyl(trimethyl)azanium;chloride,decanoic acid,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCC(=O)O,0.786,473.55
2-hydroxyethyl(trimethyl)azanium;chloride,dodecanoic acid,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCC(=O)O,0.748,473.4
tetrapropylazanium;chloride,tetradecanoic acid,CCC[N+](CCC)(CCC)CCC.[Cl-],CCCCCCCCCCCCCC(=O)O,0.9,473.35
sodium;dodecanoate,decanoic acid,CCCCCCCCCCCC(=O)[O-].[Na+],CCCCCCCCCC(=O)O,0.852,473.15
ChCl,[N1111]Cl,C[N+](C)(C)CCO.[Cl-],C[N+](C)(C)C.[Cl-],0.490443379,472.45
2-hydroxyethyl(trimethyl)azanium;chloride,"2,3-dihydroxybutanedioic acid",C[N+](C)(C)CCO.[Cl-],O=C(O)C(O)C(O)C(=O)O,0.849,471.75
ChCl,[NH4]Cl,C[N+](C)(C)CCO.[Cl-],[NH4+].[Cl-],0.502522637,471.65
2-(trimethylazaniumyl)acetate,"(1R,4R)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-one",C[N+](C)(C)CC(=O)[O-],CC1(C)[C@@H]2CC[C@@]1(C)C(=O)C2,0.598,468.4
2-hydroxyethyl(trimethyl)azanium;chloride,"(1R,4R)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-one",C[N+](C)(C)CCO.[Cl-],CC1(C)[C@@H]2CC[C@@]1(C)C(=O)C2,0.802,468.3
tetraethylazanium;chloride,dodecanoic acid,CC[N+](CC)(CC)CC.[Cl-],CCCCCCCCCCCC(=O)O,0.798,467.35
tetraethylazanium;chloride,dodecanoic acid,CC[N+](CC)(CC)CC.[Cl-],CCCCCCCCCCCC(=O)O,0.7988,467.2153
2-hydroxyethyl(trimethyl)azanium;chloride,2-hydroxypropanoic acid,C[N+](C)(C)CCO.[Cl-],CC(O)C(=O)O,0.799,466.85
2-hydroxyethyl(trimethyl)azanium;chloride,2-(3-benzoylphenyl)propanoic acid,C[N+](C)(C)CCO.[Cl-],CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,0.695,465.85
tetraethylazanium;chloride,decanoic acid,CC[N+](CC)(CC)CC.[Cl-],CCCCCCCCCC(=O)O,0.808,465.25
2-hydroxyethyl(trimethyl)azanium;chloride,"ethane-1,2-diol",C[N+](C)(C)CCO.[Cl-],OCCO,0.803,463.656
tetraethylazanium;chloride,tetradecanoic acid,CC[N+](CC)(CC)CC.[Cl-],CCCCCCCCCCCCCC(=O)O,0.802,463.65
2-hydroxyethyl(trimethyl)azanium;chloride,"(1R,2S,5R)-5-methyl-2-propan-2-ylcyclohexan-1-ol",C[N+](C)(C)CCO.[Cl-],CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,0.8,463.4
tetramethylazanium;chloride,decanoic acid,C[N+](C)(C)C.[Cl-],CCCCCCCCCC(=O)O,0.601,463.25
[N1111]Cl,"[NBz,1,1,1]Cl",C[N+](C)(C)C.[Cl-],C[N+](C)(C)CC1=CC=CC=C1.[Cl-],0.292738012,461.9
2-hydroxyethyl(trimethyl)azanium;chloride,N-(4-hydroxyphenyl)acetamide,C[N+](C)(C)CCO.[Cl-],CC(=O)Nc1ccc(O)cc1,0.794,461.02
2-hydroxyethyl(trimethyl)azanium;chloride,octadecan-1-ol,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCCCCCCCCO,0.798,460.15
2-(trimethylazaniumyl)acetate,octadecan-1-ol,C[N+](C)(C)CC(=O)[O-],CCCCCCCCCCCCCCCCCCO,0.698,459.7
tetramethylazanium;chloride,tetradecanoic acid,C[N+](C)(C)C.[Cl-],CCCCCCCCCCCCCC(=O)O,0.603,459.25
tetrapropylazanium;chloride,octadecanoic acid,CCC[N+](CCC)(CCC)CCC.[Cl-],CCCCCCCCCCCCCCCCCC(=O)O,0.778,458.55
2-(trimethylazaniumyl)acetate,urea,C[N+](C)(C)CC(=O)[O-],NC(N)=O,0.688,458.2
2-hydroxyethyl(trimethyl)azanium;chloride,"propane-1,2,3-triol",C[N+](C)(C)CCO.[Cl-],OCC(O)CO,0.794,457.838
2-hydroxyethyl(trimethyl)azanium;chloride,octadecan-1-ol,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCCCCCCCCO,0.8,456.75
2-hydroxyethyl(trimethyl)azanium;chloride,tetradecan-1-ol,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCCCCO,0.742,456.58
2-hydroxyethyl(trimethyl)azanium;chloride,"(2S,3R)-butane-1,2,3,4-tetrol",C[N+](C)(C)CCO.[Cl-],OC[C@@H](O)[C@@H](O)CO,0.7,453.812
tetramethylazanium;chloride,hexadecan-1-ol,C[N+](C)(C)C.[Cl-],CCCCCCCCCCCCCCCCO,0.8,453.8
